	Warning:  warning, (EE) error, (NI) not implemented, (??) unknown.
[   124.710] Warning:  Falling back to old probe method for fbdev
[   124.847] Warning:  VESA(0): Unable to estimate virtual size
[   124.847] Warning:  VESA(0): No valid modes left. Trying less strict filter...
[   124.847] Warning:  VESA(0): Unable to estimate virtual size
	(++) from command line, (!!) notice, Information:  informational,
[   124.597] Information:  Loader magic: 0x822c540
[   124.597] Information:  Module ABI versions:
[   124.604] Information:  The server relies on HAL to provide the list of input devices.
[   124.604] Information:  LoadModule: "extmod"
[   124.606] Information:  Loading /usr/lib/xorg/modules/extensions/libextmod.so
[   124.620] Information:  Module extmod: vendor="X.Org Foundation"
[   124.620] Information:  Loading extension SELinux
[   124.620] Information:  Loading extension MIT-SCREEN-SAVER
[   124.620] Information:  Loading extension XFree86-VidModeExtension
[   124.620] Information:  Loading extension XFree86-DGA
[   124.620] Information:  Loading extension DPMS
[   124.620] Information:  Loading extension XVideo
[   124.620] Information:  Loading extension XVideo-MotionCompensation
[   124.620] Information:  Loading extension X-Resource
[   124.620] Information:  LoadModule: "dbe"
[   124.620] Information:  Loading /usr/lib/xorg/modules/extensions/libdbe.so
[   124.621] Information:  Module dbe: vendor="X.Org Foundation"
[   124.621] Information:  Loading extension DOUBLE-BUFFER
[   124.621] Information:  LoadModule: "glx"
[   124.621] Information:  Loading /usr/lib/xorg/modules/extensions/libglx.so
[   124.624] Information:  Module glx: vendor="X.Org Foundation"
[   124.624] Information:  Loading extension GLX
[   124.624] Information:  LoadModule: "record"
[   124.624] Information:  Loading /usr/lib/xorg/modules/extensions/librecord.so
[   124.625] Information:  Module record: vendor="X.Org Foundation"
[   124.625] Information:  Loading extension RECORD
[   124.625] Information:  LoadModule: "dri"
[   124.625] Information:  Loading /usr/lib/xorg/modules/extensions/libdri.so
[   124.633] Information:  Module dri: vendor="X.Org Foundation"
[   124.633] Information:  Loading extension XFree86-DRI
[   124.633] Information:  LoadModule: "dri2"
[   124.633] Information:  Loading /usr/lib/xorg/modules/extensions/libdri2.so
[   124.634] Information:  Module dri2: vendor="X.Org Foundation"
[   124.634] Information:  Loading extension DRI2
[   124.634] Information:  LoadModule: "vesa"
[   124.634] Information:  Loading /usr/lib/xorg/modules/drivers/vesa_drv.so
[   124.657] Information:  Module vesa: vendor="X.Org Foundation"
[   124.657] Information:  LoadModule: "fbdev"
[   124.657] Information:  Loading /usr/lib/xorg/modules/drivers/fbdev_drv.so
[   124.669] Information:  Module fbdev: vendor="X.Org Foundation"
[   124.669] Information:  VESA: driver for VESA chipsets: vesa
[   124.669] Information:  FBDEV: driver for framebuffer: fbdev
[   124.710] Information:  Loading /usr/lib/xorg/modules/drivers/vesa_drv.so
